imgurl,date
https://dlcs.io/iiif-img/2/1/8af2276e-9d0d-45d1-a798-8ffe8efa4e49/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1859-09-15T00:00:00
https://dlcs.io/iiif-img/2/1/e1655422-a350-46bd-bcb3-828b6ef5090b/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1859-09-15T00:00:00
https://dlcs.io/iiif-img/2/1/7e567f03-57f9-4cae-903a-1846c9bec23f/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-02-09T00:00:00
https://dlcs.io/iiif-img/2/1/df91c364-1a6f-40a9-93ee-9fbe915c0965/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-04-12T00:00:00
https://dlcs.io/iiif-img/2/1/df91c364-1a6f-40a9-93ee-9fbe915c0965/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-04-12T00:00:00
https://dlcs.io/iiif-img/2/1/df91c364-1a6f-40a9-93ee-9fbe915c0965/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-04-12T00:00:00
https://dlcs.io/iiif-img/2/1/df91c364-1a6f-40a9-93ee-9fbe915c0965/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-04-12T00:00:00
https://dlcs.io/iiif-img/2/1/df91c364-1a6f-40a9-93ee-9fbe915c0965/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-04-12T00:00:00
https://dlcs.io/iiif-img/2/1/70e022c5-c966-4cc5-b28b-02941cd966e2/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-04-26T00:00:00
https://dlcs.io/iiif-img/2/1/633fef94-915c-43e6-b5e2-caa505d8acae/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-06-28T00:00:00
https://dlcs.io/iiif-img/2/1/da600c3f-a52c-4a22-b071-bfbd2151e93f/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-08-02T00:00:00
https://dlcs.io/iiif-img/2/1/31a79718-376b-4213-b61f-9c2d8497c392/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-08-30T00:00:00
https://dlcs.io/iiif-img/2/1/0674df2b-265d-4341-8cc2-151775abdd1c/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-09-20T00:00:00
https://dlcs.io/iiif-img/2/1/476484cf-f5f1-4feb-ae98-12f88984a643/0%2c245%2c2536%2c3839/212%2c321/0/default.jpg,1924-09-06T00:00:00
